[2025-11-22 08:26:29] --- FDM v9.4 (Resonant Inertia) Starting ---
[2025-11-23 06:26:53] Model: (1, 1, 1) | Price: $86,250.00 | FC (T+10): +32.53 | AIC: 1537.0 | Risk: 1.0
[2025-11-23 06:56:54] Model: (1, 1, 1) | Price: $86,244.16 | FC (T+10): +46.06 | AIC: 1537.0 | Risk: 1.0
[2025-11-23 07:26:55] Model: (1, 1, 1) | Price: $86,108.31 | FC (T+10): -79.19 | AIC: 1538.1 | Risk: 1.0
[2025-11-23 07:56:55] Model: (1, 1, 1) | Price: $85,869.57 | FC (T+10): +6.06 | AIC: 1538.4 | Risk: 1.0
[2025-11-23 08:26:56] Model: (1, 1, 1) | Price: $85,672.82 | FC (T+10): -25.90 | AIC: 1537.7 | Risk: 1.0
[2025-11-23 08:56:56] Model: (1, 1, 1) | Price: $85,705.94 | FC (T+10): -17.92 | AIC: 1537.7 | Risk: 1.0
[2025-11-23 09:26:57] Model: (1, 1, 1) | Price: $86,085.67 | FC (T+10): -39.44 | AIC: 1533.3 | Risk: 1.0
[2025-11-23 09:56:57] Model: (1, 1, 1) | Price: $86,125.99 | FC (T+10): -24.43 | AIC: 1533.3 | Risk: 1.0
[2025-11-23 10:26:58] Model: (1, 1, 1) | Price: $86,110.60 | FC (T+10): -27.93 | AIC: 1533.5 | Risk: 1.0
[2025-11-23 10:56:58] Model: (1, 1, 1) | Price: $86,355.35 | FC (T+10): -17.28 | AIC: 1533.7 | Risk: 1.0
[2025-11-23 11:26:59] Model: (1, 1, 1) | Price: $86,339.94 | FC (T+10): -12.70 | AIC: 1533.4 | Risk: 1.0
[2025-11-23 11:56:59] Model: (1, 1, 1) | Price: $86,100.22 | FC (T+10): +33.94 | AIC: 1533.5 | Risk: 1.0
[2025-11-23 12:27:01] Model: (1, 1, 1) | Price: $86,100.48 | FC (T+10): -72.79 | AIC: 1533.6 | Risk: 1.0
[2025-11-23 12:57:01] Model: (1, 1, 1) | Price: $86,316.39 | FC (T+10): -69.14 | AIC: 1533.7 | Risk: 1.0
[2025-11-23 13:27:02] Model: (1, 1, 1) | Price: $86,743.94 | FC (T+10): -56.67 | AIC: 1534.5 | Risk: 1.0
[2025-11-23 13:57:02] Model: (1, 1, 1) | Price: $86,542.00 | FC (T+10): -44.72 | AIC: 1534.1 | Risk: 1.0
[2025-11-23 14:27:03] Model: (1, 1, 1) | Price: $86,467.29 | FC (T+10): -32.76 | AIC: 1532.7 | Risk: 1.0
[2025-11-23 14:57:03] Model: (1, 1, 1) | Price: $86,874.67 | FC (T+10): -37.05 | AIC: 1533.0 | Risk: 1.0
[2025-11-23 15:27:04] Model: (1, 1, 1) | Price: $86,807.19 | FC (T+10): +23.09 | AIC: 1534.2 | Risk: 1.0
[2025-11-23 15:57:05] Model: (1, 1, 1) | Price: $86,618.98 | FC (T+10): +84.76 | AIC: 1534.3 | Risk: 1.0
[2025-11-23 16:27:05] Model: (1, 1, 1) | Price: $86,702.99 | FC (T+10): -52.92 | AIC: 1531.6 | Risk: 1.0
[2025-11-23 16:57:06] Model: (1, 1, 1) | Price: $87,118.98 | FC (T+10): -16.17 | AIC: 1532.3 | Risk: 1.0
[2025-11-23 17:27:06] Model: (1, 1, 1) | Price: $87,102.94 | FC (T+10): -1.47 | AIC: 1532.1 | Risk: 1.0
[2025-11-23 17:57:07] Model: (1, 1, 1) | Price: $87,050.01 | FC (T+10): +30.46 | AIC: 1532.1 | Risk: 1.0
[2025-11-23 18:27:07] Model: (1, 1, 1) | Price: $86,781.99 | FC (T+10): -3.32 | AIC: 1531.6 | Risk: 1.0
